Person_ID,Age,Gender,Sleep_Duration_Hours,Work_Study_Hours,Physical_Activity_Level,Screen_Time_Hours,Mental_Fatigue_Score,Burnout_Risk
1,24,Male,8.245964776760898,5.810629149512131,4,1.440106978097397,-7.535333838087006,Low
2,32,Female,7.6069100226741115,7.759658738893219,4,5.9039075335999724,3.430979390937397,Medium
3,28,Female,6.044154025255061,7.826754545357678,3,4.004080474424454,3.4011321465583366,Medium
4,25,Male,6.579837015684244,9.203509353187426,2,9.602616574322395,12.436294766879346,High
5,24,Male,6.404871551533018,8.316481352000999,5,6.12299635683914,1.717257594675532,Low
6,28,Male,6.2356622639246675,9.505579442081512,5,6.553683624689757,3.3495665586822074,Medium
7,28,Male,6.317058669647795,9.267088014947843,4,6.618398255476527,5.623488659055436,Medium
8,21,Female,6.285034357918891,10.562679988528622,2,2.465181548368589,3.2124256076898057,Medium
9,25,Female,6.231888568759405,10.247566081920231,3,10.359692232771508,19.74081379712482,High
10,20,Male,7.942259621634264,10.036247670269432,2,1.4427218813720666,-4.075956339689439,Low
11,19,Female,5.53443573336069,14.0,1,7.489257854249356,20.924493608149074,High
12,29,Female,5.924631077235404,9.194805273284658,2,7.046659843701623,9.950528071515167,Medium
13,23,Female,,13.687143007717722,1,4.3074940502176,,
14,19,Female,8.498579363013018,,1,7.166125791783473,,
15,18,Male,5.844196449610895,8.334298170388216,3,4.706067002940655,4.355467117692856,Medium
16,29,Male,7.592930278066568,,4,3.8113463878605547,,
17,29,Female,7.370382632254768,,2,6.673897923382318,,
18,34,Female,8.382606345308925,11.781006785775876,1,2.983597522280245,2.9370797080665714,Low
19,27,Male,6.547979961949887,9.699567711929458,2,4.939362103106076,6.890480174171651,Medium
20,33,Female,5.662952255256905,10.767093549005411,4,4.014558128175106,8.08142646169293,Medium
21,32,Female,4.933100028954046,5.945559068153834,4,4.660051226067638,-1.933063811488383,Low
22,32,Male,4.0,5.402440354975576,5,6.5818214978254606,6.587854683862366,Medium
23,29,Female,6.993623871054683,10.992653771594908,4,4.014084069134484,2.5539342636389986,Low
24,20,Other,7.730567086986697,8.246377004193956,3,5.019190217319089,1.2623013611469827,Low
25,22,Other,7.3660257262374085,9.998604834795007,1,4.242136870246046,6.2075105549750385,Medium
26,24,Male,4.9642828361926306,7.065424100087844,5,9.109991663936365,7.703726546362032,Medium
27,26,Female,8.046591374134314,11.813976939409551,3,6.356530995534725,5.928294302529664,Medium
28,24,Female,5.962140766021577,5.4191626562219275,2,6.050174082416799,-0.0011213947880961417,Low
29,21,Female,5.711715807029895,5.728829827034623,1,7.20854626155856,4.013085118452394,Medium
30,31,Other,5.935241317636179,11.38862316742469,4,4.014663558062784,10.72556418312665,High
31,26,Female,6.894090707007292,3.280316414034199,1,7.648143062499601,-3.2875344293509423,Low
32,19,Female,5.018358114179513,9.257137736189833,2,6.365444364581854,7.329793599535048,Medium
33,32,Female,6.755556903537058,8.285348008806846,5,1.5977727431148363,-6.455210971557186,Low
34,24,Female,7.315337894460403,7.02809616159994,5,1.929922917248088,-6.365362406070195,Low
35,29,Male,8.128788675492338,8.100120302819262,5,4.069257368039835,-8.798404405071402,Low
36,25,Male,7.011147988665493,6.80495301382038,4,2.1974837603370747,-9.238565512599106,Low
37,32,Male,5.19244580216745,11.584511892096998,3,4.904303848251042,9.094176352834072,Medium
38,20,Female,6.978668273182668,12.108994176723218,3,2.96565502146034,0.9016144085771871,Low
39,31,Male,5.527690071264656,7.128524826423311,1,5.255692367322703,1.3254240100444918,Low
40,34,Female,5.458465812359659,9.051049754937063,4,9.02927343982864,5.653965907391826,Medium
41,21,Male,5.1647556757520245,5.849847058127906,5,5.376557741109537,-2.6427066023807333,Low
42,25,Female,4.506495584127171,10.646104318006254,5,4.742588862745178,9.841011464060474,Medium
43,21,Female,6.119404198477525,10.594018349286628,2,6.470606619463361,12.284070938694171,High
44,19,Female,8.15466649165629,7.909475534584621,2,3.758950517693491,3.822623619452356,Medium
45,23,Male,,8.53377011683979,5,7.608535773489999,,
46,27,Female,6.111697809991886,8.312469100954658,5,6.73803238281028,5.689885020461893,Medium
47,21,Female,8.103326632123586,5.2630843326394485,4,5.597163905121409,-2.512397054739214,Low
48,29,Male,6.326501218116086,,3,5.885789579083966,,
49,19,Female,4.819117136661727,6.966093522235139,2,10.604364776407131,13.095738297754616,High
50,27,Female,7.641130713735293,6.979701455484157,3,7.855780525669671,7.445036531108766,Medium
51,21,Male,7.08177690415468,8.199160291076334,4,10.998816577903334,8.447405125959635,Medium
